"x","y"
-112.25,31.75
-111.75,31.75
-111.25,31.75
-110.75,31.75
-110.25,31.75
-109.75,31.75
-109.25,31.75
-108.75,31.75
-108.25,31.75
-107.75,31.75
-107.25,31.75
-106.75,31.75
-106.25,31.75
-105.75,31.75
-105.25,31.75
-104.75,31.75
-104.25,31.75
-103.75,31.75
-103.25,31.75
-102.75,31.75
-102.25,31.75
-101.75,31.75
-101.25,31.75
-100.75,31.75
-100.25,31.75
-99.75,31.75
-99.25,31.75
-98.75,31.75
-98.25,31.75
-97.75,31.75
-97.25,31.75
-96.75,31.75
-96.25,31.75
-95.75,31.75
-95.25,31.75
-94.75,31.75
-94.25,31.75
-93.75,31.75
-93.25,31.75
-92.75,31.75
-92.25,31.75
-91.75,31.75
-91.25,31.75
-90.75,31.75
-90.25,31.75
-89.75,31.75
-89.25,31.75
-88.75,31.75
-88.25,31.75
-87.75,31.75
-87.25,31.75
-86.75,31.75
-86.25,31.75
-85.75,31.75
-85.25,31.75
-84.75,31.75
-84.25,31.75
-83.75,31.75
-83.25,31.75
-82.75,31.75
-82.25,31.75
-81.75,31.75
-81.25,31.75
-80.75,31.75
-116.75,31.25
-116.25,31.25
-115.75,31.25
-115.25,31.25
-114.75,31.25
-114.25,31.25
-113.75,31.25
-113.25,31.25
-112.75,31.25
-112.25,31.25
-111.75,31.25
-111.25,31.25
-110.75,31.25
-110.25,31.25
-109.75,31.25
-109.25,31.25
-108.75,31.25
-108.25,31.25
-107.75,31.25
-107.25,31.25
